GBP/USD Forward Rates,"As of: 16:26 Oct 16, 2023, GMT+1"

Overnight,1.21963,1.21955,1.21959,0.05850
Tomorrow Next,1.21963,1.21955,1.21959,0.06050
Spot Next,1.21963,1.21955,1.21959,0.06050
One Week,1.21967,1.21959,1.21963,0.47000
Two Weeks,1.21972,1.21963,1.21968,0.95000
Three Weeks,1.21976,1.21967,1.21971,1.33000
One Month,1.21985,1.21972,1.21979,2.05800
Two Months,1.22000,1.21990,1.21995,3.65000
Three Months,1.22057,1.22030,1.22044,8.55250
Four Months,1.22070,1.22058,1.22064,10.6000
Five Months,1.22088,1.22075,1.22082,12.3500
Six Months,1.22109,1.22096,1.22103,14.4500
Seven Months,1.22120,1.22104,1.22112,15.3750
Eight Months,1.22130,1.22112,1.22121,16.2500
Nine Months,1.22137,1.22119,1.22128,17.0000
Ten Months,1.22140,1.22122,1.22131,17.2500
Eleven Months,1.22140,1.22122,1.22131,17.2500
One Year,1.22137,1.22119,1.22128,17.0000
Two Years,1.21982,1.21924,1.21953,-0.50000
Three Years,1.21912,1.21844,1.21878,-8.00000
Four Years,1.22162,1.22074,1.22118,16.0000
Five Years,1.22732,1.22624,1.22678,72.0000
