GBP/USD Forward Rates,"As of: 17:00 Aug 02, 2023, GMT+1"

Overnight,1.27111,1.27108,1.27110,0.92000
Tomorrow Next,1.27105,1.27101,1.27103,0.24500
Spot Next,1.27104,1.27101,1.27102,0.16100
One Week,1.27107,1.27103,1.27105,0.42000
Two Weeks,1.27111,1.27107,1.27109,0.85000
Three Weeks,1.27116,1.27112,1.27114,1.30000
One Month,1.27126,1.27117,1.27121,2.06700
Two Months,1.27135,1.27130,1.27133,3.24000
Three Months,1.27132,1.27126,1.27129,2.83000
Four Months,1.27107,1.27100,1.27104,0.30000
Five Months,1.27149,1.27141,1.27145,4.45000
Six Months,1.27122,1.27111,1.27117,1.60000
Seven Months,1.27094,1.27081,1.27088,-1.27000
Eight Months,1.27063,1.27050,1.27056,-4.42000
Nine Months,1.27010,1.26997,1.27003,-9.71000
Ten Months,1.26962,1.26949,1.26955,-14.5500
Eleven Months,1.26904,1.26891,1.26898,-20.2900
One Year,1.26829,1.26816,1.26822,-27.8300
Two Years,1.25702,1.25649,1.25676,-142.500
Three Years,1.24741,1.24678,1.24710,-239.100
Four Years,1.24220,1.24117,1.24169,-293.200
Five Years,1.23979,1.23876,1.23928,-317.300
